"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS" "VOLUME" "DENSITY"
"1270" "I" 0.48 0.365 0.1 0.461 0.2205 0.0835 0.135 8 "A2" 0.01752 26.3127853881279
"3893" "I" 0.5 0.38 0.155 0.6675 0.2745 0.156 0.18 12 "A4" 0.02945 22.6655348047538
"2448" "M" 0.615 0.475 0.17 1.1825 0.474 0.2895 0.24 11 "A4" 0.04966125 23.8113217045483
"3700" "M" 0.615 0.505 0.165 1.167 0.4895 0.2955 0.345 10 "A3" 0.051244875 22.7730090082179
"1841" "I" 0.515 0.415 0.135 0.7125 0.285 0.152 0.245 10 "A3" 0.028852875 24.6942462406259
"1605" "I" 0.565 0.42 0.155 0.743 0.31 0.186 0.231 9 "A3" 0.0367815 20.2003724698558
"2601" "F" 0.705 0.56 0.205 2.381 0.9915 0.5005 0.624 10 "A3" 0.080934 29.4190327921516
"601" "F" 0.385 0.315 0.11 0.286 0.1225 0.0635 0.0835 10 "A3" 0.01334025 21.4388785817357
"2259" "I" 0.485 0.415 0.14 0.5705 0.25 0.134 0.185 8 "A2" 0.0281785 20.2459321823376
"941" "I" 0.465 0.37 0.115 0.534 0.261 0.098 0.143 7 "A2" 0.01978575 26.9891209582654
"3792" "F" 0.68 0.52 0.185 1.541 0.5985 0.395 0.4575 10 "A3" 0.065416 23.5569279686927
"2369" "M" 0.37 0.29 0.09 0.241 0.11 0.045 0.069 10 "A3" 0.009657 24.9559904732319
"2029" "I" 0.42 0.315 0.115 0.355 0.1895 0.065 0.087 6 "A1" 0.0152145 23.3330046994643
"1585" "I" 0.54 0.425 0.14 0.742 0.32 0.1395 0.25 9 "A3" 0.03213 23.0936819172113
"3465" "M" 0.575 0.44 0.145 0.87 0.3945 0.2195 0.225 8 "A2" 0.036685 23.7154150197628
"1433" "M" 0.45 0.335 0.125 0.4475 0.2165 0.126 0.11 6 "A1" 0.01884375 23.7479270315091
"1134" "F" 0.575 0.46 0.145 0.9945 0.466 0.229 0.265 7 "A2" 0.0383525 25.9305130043674
"672" "F" 0.53 0.41 0.165 0.8115 0.24 0.169 0.24 19 "A6" 0.0358545 22.6331422833954
"677" "F" 0.5 0.375 0.115 0.5945 0.185 0.148 0.19 11 "A4" 0.0215625 27.5710144927536
"1895" "M" 0.58 0.44 0.16 0.8295 0.3365 0.2005 0.2485 9 "A3" 0.040832 20.3149490595611
"995" "M" 0.59 0.465 0.155 1.136 0.5245 0.2615 0.275 11 "A4" 0.04252425 26.7141689741736
"850" "M" 0.555 0.435 0.145 0.9685 0.4985 0.168 0.2385 9 "A3" 0.035006625 27.6661917565604
"2649" "M" 0.595 0.47 0.165 1.108 0.4915 0.2325 0.3345 9 "A3" 0.04614225 24.0126998575059
"4091" "M" 0.55 0.42 0.145 0.7385 0.321 0.1485 0.252 11 "A4" 0.033495 22.0480668756531
"2752" "F" 0.585 0.455 0.13 0.8755 0.411 0.2065 0.225 8 "A2" 0.03460275 25.30145725412
"1382" "M" 0.635 0.475 0.17 1.1935 0.5205 0.2695 0.3665 10 "A3" 0.05127625 23.2758830842739
"3945" "F" 0.525 0.41 0.115 0.7745 0.416 0.163 0.18 7 "A2" 0.02475375 31.2881886582841
"3221" "F" 0.435 0.35 0.125 0.459 0.197 0.1145 0.145 9 "A3" 0.01903125 24.1182266009852
"3604" "I" 0.39 0.29 0.09 0.2745 0.135 0.0455 0.078 8 "A2" 0.010179 26.9672855879752
"1108" "M" 0.52 0.4 0.145 0.7765 0.3525 0.1845 0.185 9 "A3" 0.03016 25.7460212201592
"3768" "I" 0.305 0.23 0.075 0.1455 0.0595 0.0305 0.05 6 "A1" 0.00526125 27.6550249465431
"4120" "I" 0.44 0.35 0.11 0.3805 0.1575 0.0895 0.115 6 "A1" 0.01694 22.4616292798111
"2690" "I" 0.34 0.245 0.085 0.2015 0.1005 0.038 0.053 6 "A1" 0.0070805 28.4584422004096
"207" "I" 0.435 0.34 0.11 0.3795 0.1495 0.085 0.12 8 "A2" 0.016269 23.3265720081136
"3989" "I" 0.33 0.245 0.065 0.1445 0.058 0.032 0.0505 6 "A1" 0.00525525 27.4963132105989
"1871" "M" 0.565 0.415 0.125 0.667 0.302 0.1545 0.185 7 "A2" 0.029309375 22.7572235846039
"2193" "F" 0.43 0.325 0.12 0.445 0.165 0.0995 0.155 8 "A2" 0.01677 26.5354800238521
"2733" "F" 0.545 0.44 0.15 0.9475 0.366 0.239 0.275 8 "A2" 0.03597 26.3413956074507
"3583" "M" 0.615 0.475 0.19 1.4335 0.7315 0.305 0.3285 9 "A3" 0.05550375 25.8270837556021
"2419" "M" 0.54 0.415 0.17 0.879 0.339 0.208 0.255 10 "A3" 0.038097 23.0726828884164
"1676" "I" 0.625 0.485 0.15 1.044 0.438 0.2865 0.278 9 "A3" 0.04546875 22.960824742268
"2119" "F" 0.45 0.36 0.125 0.5065 0.222 0.105 0.16 10 "A3" 0.02025 25.0123456790123
"229" "F" 0.53 0.415 0.16 0.783 0.2935 0.158 0.245 15 "A6" 0.035192 22.2493748579223
"1020" "M" 0.64 0.505 0.155 1.4025 0.705 0.2655 0.335 10 "A3" 0.050096 27.9962472053657
"1552" "I" 0.475 0.36 0.145 0.6325 0.2825 0.137 0.19 8 "A2" 0.024795 25.5091752369429
"773" "M" 0.455 0.34 0.135 0.462 0.1675 0.158 0.12 9 "A3" 0.0208845 22.1216691804927
"3248" "F" 0.465 0.39 0.14 0.5555 0.213 0.1075 0.215 15 "A6" 0.025389 21.8795541376186
"597" "I" 0.605 0.47 0.14 0.939 0.3385 0.201 0.32 13 "A5" 0.039809 23.5876309377276
